year,Country,terrorist_attacks,terrorist_attack_injuries,terrorist_attack_fatalities
1969,India,2,2,0
1969,United Kingdom,4,1,0
1969,United Kingdom,4,1,0
1969,Sudan,1,0,0
1969,Philippines,2,0,1
1969,Yugoslavia,1,0,0
1969,Greece,6,13,1
1969,Japan,3,0,0
1969,Israel,6,49,4
1969,India,2,2,0
1969,Greece,6,13,1
1969,United Kingdom,4,1,0
1969,Denmark,2,0,0
1969,Egypt,1,0,0
1969,United Kingdom,4,1,0
1969,France,1,4,0
1969,Japan,3,0,0
1969,Brazil,3,2,0
1969,Ecuador,3,1,1
1969,Netherlands,1,0,0
1969,Federal Republic of Germany,9,2,0
1969,Belgium,1,4,0
1969,Ethiopia,2,0,0
1969,Jordan,2,0,0
1969,Italy,2,0,0
1969,Ethiopia,2,0,0
1969,Brazil,3,2,0
1969,Bolivia,5,0,0
1969,Ecuador,3,1,1
1969,Canada,2,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Colombia,1,0,0
1969,Peru,1,0,0
1969,Bolivia,5,0,0
1969,Lebanon,1,0,0
1969,Japan,3,0,0
1969,Bolivia,5,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Argentina,26,0,0
1969,Greece,6,13,1
1969,Australia,4,0,0
1969,Federal Republic of Germany,9,2,0
1969,Federal Republic of Germany,9,2,0
1969,Spain,2,0,0
1969,Federal Republic of Germany,9,2,0
1969,Turkey,1,0,0
1969,Greece,6,13,1
1969,New Zealand,1,0,0
1969,Philippines,2,0,1
1970,Turkey,13,2,0
1970,Uruguay,6,1,1
1970,Italy,6,0,0
1970,Greece,6,2,0
1970,France,1,0,0
1970,Ethiopia,3,0,1
1970,Guatemala,5,0,2
1970,Philippines,5,3,0
1970,Israel,3,92,29
1970,Japan,2,0,0
1970,Federal Republic of Germany,8,11,1
1970,Switzerland,3,0,47
1970,Federal Republic of Germany,8,11,1
1970,West Bank/Gaza,1,0,1
1970,Italy,6,0,0
1970,Philippines,5,3,0
1970,Guatemala,5,0,2
1970,Argentina,19,1,3
1970,Brazil,8,3,2
1970,Greece,6,2,0
1970,Colombia,3,0,2
1970,Ethiopia,3,0,1
1970,Dominican Republic,3,0,0
1970,Argentina,19,1,3
1970,Dominican Republic,3,0,0
1970,Lebanon,8,5,0
1970,Lebanon,8,5,0
1970,Argentina,19,1,3
1970,Lebanon,8,5,0
1970,Lebanon,8,5,0
1970,Japan,2,0,0
1970,Guatemala,5,0,2
1970,Brazil,8,3,2
1970,Dominican Republic,3,0,0
1970,Jordan,12,2,2
1970,Jordan,12,2,2
1970,Ethiopia,3,0,1
1970,United States,18,4,0
1970,Federal Republic of Germany,8,11,1
1970,Turkey,13,2,0
1970,Brazil,8,3,2
1970,Turkey,13,2,0
1970,Jamaica,1,0,0
1970,Italy,6,0,0
1970,Paraguay,1,1,1
1970,Pakistan,2,11,4
1970,United Kingdom,5,0,0
1970,Venezuela,1,0,0
1970,South Africa,1,0,0
1970,Lebanon,8,5,0
1970,Jordan,12,2,2
1970,Switzerland,3,0,47
1970,Netherlands,4,0,1
1970,Federal Republic of Germany,8,11,1
1970,United Kingdom,5,0,0
1970,Ecuador,1,0,0
1970,Israel,3,92,29
1970,Italy,6,0,0
1970,Philippines,5,3,0
1970,Philippines,5,3,0
1970,Jordan,12,2,2
1970,Jordan,12,2,2
1970,Jordan,12,2,2
1970,Iran,3,0,0
1970,Jordan,12,2,2
1970,Brazil,8,3,2
1970,Argentina,19,1,3
1970,Thailand,1,0,3
1970,Lebanon,8,5,0
1970,United States,18,4,0
1970,Brazil,8,3,2
1970,United States,18,4,0
1970,United States,18,4,0
1970,United States,18,4,0
1970,United States,18,4,0
1970,United States,18,4,0
1970,Colombia,3,0,2
1970,United States,18,4,0
1970,United States,18,4,0
1970,United States,18,4,0
1970,Lebanon,8,5,0
1970,Brazil,8,3,2
1970,Bolivia,10,0,0
1970,Bolivia,10,0,0
1970,Lebanon,8,5,0
1970,Brazil,8,3,2
1970,Uruguay,6,1,1
1970,Uruguay,6,1,1
1970,Uruguay,6,1,1
1970,United States,18,4,0
1970,Belgium,1,0,0
1970,United States,18,4,0
1970,Chile,2,0,0
1970,Uruguay,6,1,1
1970,Costa Rica,2,0,0
1970,Argentina,19,1,3
1970,Federal Republic of Germany,8,11,1
1970,Bolivia,10,0,0
1970,Bolivia,10,0,0
1970,Bolivia,10,0,0
1970,Bolivia,10,0,0
1970,United States,18,4,0
1970,United States,18,4,0
1970,Netherlands,4,0,1
1970,Turkey,13,2,0
1970,Guatemala,5,0,2
1970,Jordan,12,2,2
1970,Greece,6,2,0
1970,Jordan,12,2,2
1970,Netherlands,4,0,1
1970,Federal Republic of Germany,8,11,1
1970,Switzerland,3,0,47
1970,Netherlands,4,0,1
1970,Bolivia,10,0,0
1970,Argentina,19,1,3
1970,Greece,6,2,0
1970,India,1,0,0
1970,Argentina,19,1,3
1970,Guatemala,5,0,2
1970,Jordan,12,2,2
1970,Jordan,12,2,2
1970,United Kingdom,5,0,0
1970,Jordan,12,2,2
1970,Argentina,19,1,3
1970,Turkey,13,2,0
1970,Turkey,13,2,0
1970,Turkey,13,2,0
1970,Canada,1,0,1
1970,Argentina,19,1,3
1970,Italy,6,0,0
1970,United Kingdom,5,0,0
1970,Turkey,13,2,0
1970,United Kingdom,5,0,0
1970,United States,18,4,0
1970,Bolivia,10,0,0
1970,Bolivia,10,0,0
1970,Chile,2,0,0
1970,Federal Republic of Germany,8,11,1
1970,Peru,2,0,0
1970,Iran,3,0,0
1970,United States,18,4,0
1970,"China, Republic of (Taiwan)",1,4,0
1970,Argentina,19,1,3
1970,Peru,2,0,0
1970,Argentina,19,1,3
1970,Argentina,19,1,3
1970,Argentina,19,1,3
1970,Australia,1,0,0
1970,Costa Rica,2,0,0
1970,Italy,6,0,0
1970,Iran,3,0,0
1970,Pakistan,2,11,4
1970,Israel,3,92,29
1970,Colombia,3,0,2
1970,Argentina,19,1,3
1970,Argentina,19,1,3
1970,Portugal,1,0,0
1970,Turkey,13,2,0
1970,Philippines,5,3,0
1970,Puerto Rico,1,0,0
1970,United States,18,4,0
1970,Federal Republic of Germany,8,11,1
1970,Argentina,19,1,3
1970,Argentina,19,1,3
1970,Argentina,19,1,3
1970,Turkey,13,2,0
1970,Turkey,13,2,0
1970,Spain,1,0,0
1970,Uruguay,6,1,1
1970,Cambodia,1,0,0
1970,Malaysia,1,0,0
1970,Bolivia,10,0,0
1970,Brazil,8,3,2
1970,United States,18,4,0
1970,Argentina,19,1,3
1970,Turkey,13,2,0
1970,Turkey,13,2,0
1970,Greece,6,2,0
1970,Greece,6,2,0
1971,Uruguay,7,0,0
1971,United States,25,8,0
1971,Ethiopia,2,0,1
1971,United States,25,8,0
1971,Federal Republic of Germany,3,0,1
1971,United States,25,8,0
1971,Australia,2,0,0
1971,Guatemala,2,0,1
1971,Philippines,7,3,1
1971,Philippines,7,3,1
1971,Ethiopia,2,0,1
1971,"Korea, South",1,16,1
1971,Turkey,22,2,1
1971,Turkey,22,2,1
1971,Turkey,22,2,1
1971,India,1,0,0
1971,Greece,9,2,1
1971,Greece,9,2,1
1971,Turkey,22,2,1
1971,Sweden,2,2,1
1971,Turkey,22,2,1
1971,Turkey,22,2,1
1971,Philippines,7,3,1
1971,Pakistan,6,0,0
1971,Turkey,22,2,1
1971,Turkey,22,2,1
1971,Turkey,22,2,1
1971,Turkey,22,2,1
1971,Turkey,22,2,1
1971,Turkey,22,2,1
1971,USSR,1,0,0
1971,United States,25,8,0
1971,United States,25,8,0
1971,Turkey,22,2,1
1971,Sri Lanka (Ceylon),1,2,1
1971,Federal Republic of Germany,3,0,1
1971,Pakistan,6,0,0
1971,Turkey,22,2,1
1971,Netherlands,2,5,0
1971,Turkey,22,2,1
1971,Pakistan,6,0,0
1971,Pakistan,6,0,0
1971,Turkey,22,2,1
1971,France,2,0,0
1971,Turkey,22,2,1
1971,Philippines,7,3,1
1971,United States,25,8,0
1971,Federal Republic of Germany,3,0,1
1971,Turkey,22,2,1
1971,Jordan,6,0,0
1971,Turkey,22,2,1
1971,Jordan,6,0,0
1971,Uruguay,7,0,0
1971,Uruguay,7,0,0
1971,Sweden,2,2,1
1971,United States,25,8,0
1971,Argentina,16,0,0
1971,Netherlands,2,5,0
1971,United States,25,8,0
1971,Denmark,1,0,0
1971,United States,25,8,0
1971,Mozambique,1,0,23
1971,Greece,9,2,1
1971,Argentina,16,0,0
1971,Argentina,16,0,0
1971,Argentina,16,0,0
1971,Argentina,16,0,0
1971,Argentina,16,0,0
1971,Argentina,16,0,0
1971,Argentina,16,0,0
1971,Argentina,16,0,0
1971,Argentina,16,0,0
1971,Argentina,16,0,0
1971,Argentina,16,0,0
1971,France,2,0,0
1971,Argentina,16,0,0
1971,Argentina,16,0,0
1971,Argentina,16,0,0
1971,Turkey,22,2,1
1971,Greece,9,2,1
1971,Dominican Republic,1,0,1
1971,Turkey,22,2,1
1971,Spain,2,0,0
1971,Israel,3,36,5
1971,United States,25,8,0
1971,Philippines,7,3,1
1971,Philippines,7,3,1
1971,Philippines,7,3,1
1971,United States,25,8,0
1971,Cambodia,3,12,2
1971,Uruguay,7,0,0
1971,United States,25,8,0
1971,Venezuela,2,0,0
1971,Greece,9,2,1
1971,Pakistan,6,0,0
1971,Israel,3,36,5
1971,Argentina,16,0,0
1971,Uruguay,7,0,0
1971,Greece,9,2,1
1971,Italy,1,0,0
1971,United States,25,8,0
1971,Guatemala,2,0,1
1971,Uruguay,7,0,0
1971,Honduras,4,0,0
1971,Honduras,4,0,0
1971,Honduras,4,0,0
1971,United States,25,8,0
1971,United States,25,8,0
1971,United States,25,8,0
1971,United States,25,8,0
1971,United States,25,8,0
1971,Spain,2,0,0
1971,Ecuador,1,0,0
1971,Cambodia,3,12,2
1971,Lebanon,3,0,0
1971,Jordan,6,0,0
1971,Honduras,4,0,0
1971,El Salvador,2,0,0
1971,Jordan,6,0,0
1971,Israel,3,36,5
1971,United States,25,8,0
1971,United States,25,8,0
1971,Yemen,1,0,0
1971,Cambodia,3,12,2
1971,Colombia,2,0,0
1971,Lebanon,3,0,0
1971,Lebanon,3,0,0
1971,Greece,9,2,1
1971,Greece,9,2,1
1971,Venezuela,2,0,0
1971,El Salvador,2,0,0
1971,Turkey,22,2,1
1971,United States,25,8,0
1971,Greece,9,2,1
1971,Canada,1,0,0
1971,United States,25,8,0
1971,Jordan,6,0,0
1971,Portugal,1,0,0
1971,Brazil,3,0,0
1971,Brazil,3,0,0
1971,Brazil,3,0,0
1971,Jordan,6,0,0
1971,"China, Republic of (Taiwan)",1,0,25
1971,Australia,2,0,0
1971,Colombia,2,0,0
1971,United States,25,8,0
1971,Egypt,1,0,1
1971,Uruguay,7,0,0
1971,United States,25,8,0
1971,United States,25,8,0
1971,Pakistan,6,0,0
1971,Ireland,1,0,0
1971,United Kingdom,1,0,0
1971,Switzerland,1,3,0
1972,Kuwait,1,0,0
1972,Brazil,2,1,1
1972,West Bank/Gaza,1,3,1
1972,Iran,4,4,1
1972,United States,13,1,0
1972,Sweden,5,0,26
1972,United States,13,1,0
1972,Austria,2,10,1
1972,Ireland,2,0,0
1972,Federal Republic of Germany,12,15,20
1972,Brazil,2,1,1
1972,Netherlands,2,0,0
1972,Federal Republic of Germany,12,15,20
1972,Federal Republic of Germany,12,15,20
1972,Greece,7,1,0
1972,Greece,7,1,0
1972,Greece,7,1,0
1972,Egypt,4,1,0
1972,Federal Republic of Germany,12,15,20
1972,India,1,0,0
1972,United States,13,1,0
1972,Puerto Rico,1,0,0
1972,Greece,7,1,0
1972,Federal Republic of Germany,12,15,20
1972,Colombia,2,0,1
1972,France,12,0,2
1972,Argentina,14,0,2
1972,United States,13,1,0
1972,Turkey,4,0,3
1972,Sweden,5,0,26
1972,Canada,8,7,1
1972,Uruguay,2,0,0
1972,Sweden,5,0,26
1972,Spain,2,0,0
1972,United States,13,1,0
1972,Greece,7,1,0
1972,Italy,9,0,1
1972,Netherlands,2,0,0
1972,Sweden,5,0,26
1972,Turkey,4,0,3
1972,Turkey,4,0,3
1972,Austria,2,10,1
1972,United Kingdom,11,0,1
1972,France,12,0,2
1972,Federal Republic of Germany,12,15,20
1972,Argentina,14,0,2
1972,Argentina,14,0,2
1972,Argentina,14,0,2
1972,Argentina,14,0,2
1972,Argentina,14,0,2
1972,Venezuela,4,0,0
1972,Venezuela,4,0,0
1972,United States,13,1,0
1972,Federal Republic of Germany,12,15,20
1972,Zimbabwe (Rhodesia),1,0,0
1972,France,12,0,2
1972,France,12,0,2
1972,France,12,0,2
1972,France,12,0,2
1972,Iran,4,4,1
1972,Israel,19,89,27
1972,Iran,4,4,1
1972,United States,13,1,0
1972,Italy,9,0,1
1972,Italy,9,0,1
1972,Italy,9,0,1
1972,Italy,9,0,1
1972,Argentina,14,0,2
1972,Argentina,14,0,2
1972,Argentina,14,0,2
1972,Argentina,14,0,2
1972,Ireland,2,0,0
1972,Federal Republic of Germany,12,15,20
1972,Israel,19,89,27
1972,Lebanon,14,5,2
1972,Lebanon,14,5,2
1972,Lebanon,14,5,2
1972,Lebanon,14,5,2
1972,Lebanon,14,5,2
1972,Israel,19,89,27
1972,Mexico,9,0,0
1972,Colombia,2,0,1
1972,Philippines,2,0,0
1972,Lebanon,14,5,2
1972,Lebanon,14,5,2
1972,Uruguay,2,0,0
1972,United States,13,1,0
1972,Italy,9,0,1
1972,Italy,9,0,1
1972,Lebanon,14,5,2
1972,Philippines,2,0,0
1972,Greece,7,1,0
1972,Cambodia,2,0,0
1972,Federal Republic of Germany,12,15,20
1972,France,12,0,2
1972,Iran,4,4,1
1972,Belgium,4,1,0
1972,Sweden,5,0,26
1972,Spain,2,0,0
1972,Mexico,9,0,0
1972,Mexico,9,0,0
1972,Mexico,9,0,0
1972,Mexico,9,0,0
1972,Mexico,9,0,0
1972,Mexico,9,0,0
1972,Mexico,9,0,0
1972,Lebanon,14,5,2
1972,Australia,2,0,1
1972,United Kingdom,11,0,1
1972,France,12,0,2
1972,France,12,0,2
1972,United Kingdom,11,0,1
1972,United Kingdom,11,0,1
1972,United Kingdom,11,0,1
1972,United Kingdom,11,0,1
1972,United Kingdom,11,0,1
1972,United Kingdom,11,0,1
1972,United Kingdom,11,0,1
1972,United Kingdom,11,0,1
1972,Switzerland,5,0,0
1972,Switzerland,5,0,0
1972,Switzerland,5,0,0
1972,Switzerland,5,0,0
1972,Switzerland,5,0,0
1972,Belgium,4,1,0
1972,Israel,19,89,27
1972,Israel,19,89,27
1972,Canada,8,7,1
1972,Canada,8,7,1
1972,Canada,8,7,1
1972,Canada,8,7,1
1972,Canada,8,7,1
1972,Canada,8,7,1
1972,Canada,8,7,1
1972,Belgium,4,1,0
1972,Israel,19,89,27
1972,Israel,19,89,27
1972,Israel,19,89,27
1972,Israel,19,89,27
1972,Israel,19,89,27
1972,Israel,19,89,27
1972,Israel,19,89,27
1972,Israel,19,89,27
1972,Israel,19,89,27
1972,Israel,19,89,27
1972,Zaire (Belgian Congo),1,0,0
1972,Argentina,14,0,2
1972,Cambodia,2,0,0
1972,Jordan,6,0,0
1972,Jordan,6,0,0
1972,Jordan,6,0,0
1972,Jordan,6,0,0
1972,Israel,19,89,27
1972,Italy,9,0,1
1972,France,12,0,2
1972,Algeria,2,1,0
1972,Venezuela,4,0,0
1972,United States,13,1,0
1972,United States,13,1,0
1972,Chile,1,0,0
1972,United States,13,1,0
1972,Argentina,14,0,2
1972,Italy,9,0,1
1972,Turkey,4,0,3
1972,Libya,1,3,0
1972,Israel,19,89,27
1972,Israel,19,89,27
1972,Lebanon,14,5,2
1972,Lebanon,14,5,2
1972,Algeria,2,1,0
1972,Israel,19,89,27
1972,Egypt,4,1,0
1972,Egypt,4,1,0
1972,Egypt,4,1,0
1972,Lebanon,14,5,2
1972,Lebanon,14,5,2
1972,United Kingdom,11,0,1
1972,Jordan,6,0,0
1972,El Salvador,2,0,0
1972,Mexico,9,0,0
1972,Argentina,14,0,2
1972,France,12,0,2
1972,El Salvador,2,0,0
1972,Jordan,6,0,0
1972,Federal Republic of Germany,12,15,20
1972,United States,13,1,0
1972,Venezuela,4,0,0
1972,Greece,7,1,0
1972,Australia,2,0,1
1972,France,12,0,2
1972,Ethiopia,1,11,6
1972,Argentina,14,0,2
1972,United States,13,1,0
1972,Lebanon,14,5,2
1972,Federal Republic of Germany,12,15,20
1972,Belgium,4,1,0
1972,Thailand,1,0,0
1972,Federal Republic of Germany,12,15,20
1973,Greece,14,54,5
1973,France,13,20,9
1973,Federal Republic of Germany,9,0,1
1973,Federal Republic of Germany,9,0,1
1973,Lebanon,12,16,2
1973,Italy,12,18,33
1973,Haiti,1,0,0
1973,Iran,2,0,1
1973,Cyprus,5,0,3
1973,Spain,3,0,1
1973,France,13,20,9
1973,United States,14,2,3
1973,France,13,20,9
1973,Argentina,14,0,4
1973,Argentina,14,0,4
1973,Brazil,4,30,1
1973,United Kingdom,2,1,0
1973,Greece,14,54,5
1973,Sudan,1,0,0
1973,Morocco,2,0,0
1973,Lebanon,12,16,2
1973,Morocco,2,0,0
1973,United States,14,2,3
1973,United States,14,2,3
1973,United States,14,2,3
1973,Cyprus,5,0,3
1973,United States,14,2,3
1973,Federal Republic of Germany,9,0,1
1973,Greece,14,54,5
1973,Belgium,2,0,0
1973,Argentina,14,0,4
1973,United States,14,2,3
1973,Lebanon,12,16,2
1973,France,13,20,9
1973,France,13,20,9
1973,Italy,12,18,33
1973,France,13,20,9
1973,Italy,12,18,33
1973,Cyprus,5,0,3
1973,Cyprus,5,0,3
1973,Cyprus,5,0,3
1973,Italy,12,18,33
1973,Italy,12,18,33
1973,Lebanon,12,16,2
1973,Lebanon,12,16,2
1973,United States,14,2,3
1973,Greece,14,54,5
1973,Federal Republic of Germany,9,0,1
1973,Puerto Rico,1,0,0
1973,Japan,2,0,0
1973,Italy,12,18,33
1973,Lebanon,12,16,2
1973,El Salvador,1,0,0
1973,Lebanon,12,16,2
1973,Argentina,14,0,4
1973,Lebanon,12,16,2
1973,Spain,3,0,1
1973,Afghanistan,1,0,0
1973,Argentina,14,0,4
1973,Lebanon,12,16,2
1973,Spain,3,0,1
1973,Burma (Myanmar),1,0,0
1973,Mexico,3,0,0
1973,Greece,14,54,5
1973,Greece,14,54,5
1973,Greece,14,54,5
1973,Greece,14,54,5
1973,Greece,14,54,5
1973,Brazil,4,30,1
1973,Venezuela,2,0,0
1973,France,13,20,9
1973,Greece,14,54,5
1973,Iran,2,0,1
1973,Federal Republic of Germany,9,0,1
1973,United States,14,2,3
1973,France,13,20,9
1973,Peru,3,0,0
1973,United States,14,2,3
1973,Argentina,14,0,4
1973,Argentina,14,0,4
1973,Greece,14,54,5
1973,Netherlands,1,1,0
1973,Norway,1,0,1
1973,Peru,3,0,0
1973,Peru,3,0,0
1973,Lebanon,12,16,2
1973,United States,14,2,3
1973,Chile,11,0,0
1973,Honduras,1,0,0
1973,Chile,11,0,0
1973,France,13,20,9
1973,Greece,14,54,5
1973,Ecuador,1,0,0
1973,New Zealand,1,0,0
1973,Chile,11,0,0
1973,Chile,11,0,0
1973,Chile,11,0,0
1973,Zambia,2,2,3
1973,France,13,20,9
1973,United States,14,2,3
1973,Paraguay,1,0,0
1973,Chile,11,0,0
1973,Chile,11,0,0
1973,Chile,11,0,0
1973,France,13,20,9
1973,Japan,2,0,0
1973,Chile,11,0,0
1973,France,13,20,9
1973,Federal Republic of Germany,9,0,1
1973,Zambia,2,2,3
1973,Portugal,1,0,0
1973,Zaire (Belgian Congo),1,1,0
1973,Belgium,2,0,0
1973,Gibraltar,1,0,0
1973,Federal Republic of Germany,9,0,1
1973,Argentina,14,0,4
1973,Austria,1,0,0
1973,Dominican Republic,1,0,0
1973,Italy,12,18,33
1973,Brazil,4,30,1
1973,Colombia,1,0,0
1973,Italy,12,18,33
1973,Argentina,14,0,4
1973,Argentina,14,0,4
1973,Argentina,14,0,4
1973,Argentina,14,0,4
1973,Mexico,3,0,0
1973,Cuba,1,0,0
1973,Lebanon,12,16,2
1973,Argentina,14,0,4
1973,United States,14,2,3
1973,Brazil,4,30,1
1973,Federal Republic of Germany,9,0,1
1973,Federal Republic of Germany,9,0,1
1973,Venezuela,2,0,0
1973,Argentina,14,0,4
1973,Lebanon,12,16,2
1973,United States,14,2,3
1973,Greece,14,54,5
1973,Mexico,3,0,0
1973,Chile,11,0,0
1973,Chile,11,0,0
1973,France,13,20,9
1973,Italy,12,18,33
1973,Italy,12,18,33
1973,Bangladesh,1,0,0
1973,Greece,14,54,5
1973,Northern Ireland,1,0,1
1973,United States,14,2,3
1973,United Kingdom,2,1,0
1973,Italy,12,18,33
1973,Italy,12,18,33
1973,Switzerland,1,0,0
1974,Mexico,14,0,0
1974,Greece,7,0,2
1974,Switzerland,2,0,0
1974,Italy,13,0,0
1974,Italy,13,0,0
1974,Italy,13,0,0
1974,Italy,13,0,0
1974,Greece,7,0,2
1974,Mexico,14,0,0
1974,Spain,5,1,0
1974,Canada,1,0,0
1974,Peru,12,16,0
1974,Argentina,48,2,5
1974,United Kingdom,3,2,0
1974,Singapore,1,0,0
1974,Mexico,14,0,0
1974,Mexico,14,0,0
1974,Mexico,14,0,0
1974,Botswana,1,0,1
1974,Pakistan,2,2,0
1974,United Kingdom,3,2,0
1974,Peru,12,16,0
1974,Kuwait,1,0,0
1974,Spain,5,1,0
1974,Israel,13,195,147
1974,Israel,13,195,147
1974,Israel,13,195,147
1974,Spain,5,1,0
1974,Belgium,9,6,0
1974,Federal Republic of Germany,4,4,0
1974,Belgium,9,6,0
1974,Greece,7,0,2
1974,United States,14,3,1
1974,France,14,5,1
1974,Lebanon,13,8,0
1974,Iran,1,0,0
1974,Netherlands,3,0,0
1974,Spain,5,1,0
1974,Peru,12,16,0
1974,Argentina,48,2,5
1974,Venezuela,5,0,0
1974,Mexico,14,0,0
1974,Venezuela,5,0,0
1974,Venezuela,5,0,0
1974,Venezuela,5,0,0
1974,Lebanon,13,8,0
1974,Argentina,48,2,5
1974,Jamaica,2,0,0
1974,Lebanon,13,8,0
1974,Northern Ireland,1,0,0
1974,Eritrea,1,0,2
1974,Mexico,14,0,0
1974,Ethiopia,5,0,1
1974,Ethiopia,5,0,1
1974,Israel,13,195,147
1974,Argentina,48,2,5
1974,Philippines,1,0,3
1974,United States,14,3,1
1974,United States,14,3,1
1974,Egypt,2,27,11
1974,United States,14,3,1
1974,Thailand,1,0,0
1974,El Salvador,1,0,0
1974,United States,14,3,1
1974,United States,14,3,1
1974,Jordan,2,0,0
1974,United Kingdom,3,2,0
1974,Lebanon,13,8,0
1974,Mexico,14,0,0
1974,Israel,13,195,147
1974,Belgium,9,6,0
1974,Belgium,9,6,0
1974,Belgium,9,6,0
1974,Ethiopia,5,0,1
1974,Ethiopia,5,0,1
1974,Lebanon,13,8,0
1974,Haiti,1,1,0
1974,Greece,7,0,2
1974,Ethiopia,5,0,1
1974,United States,14,3,1
1974,Greece,7,0,2
1974,Federal Republic of Germany,4,4,0
1974,Switzerland,2,0,0
1974,Argentina,48,2,5
1974,Argentina,48,2,5
1974,Argentina,48,2,5
1974,Argentina,48,2,5
1974,Argentina,48,2,5
1974,Argentina,48,2,5
1974,Argentina,48,2,5
1974,Argentina,48,2,5
1974,Argentina,48,2,5
1974,Argentina,48,2,5
1974,Argentina,48,2,5
1974,Argentina,48,2,5
1974,Argentina,48,2,5
1974,United States,14,3,1
1974,Israel,13,195,147
1974,Argentina,48,2,5
1974,Lebanon,13,8,0
1974,France,14,5,1
1974,Japan,5,15,0
1974,France,14,5,1
1974,Lebanon,13,8,0
1974,Argentina,48,2,5
